Location,London borough,Post town,Postcode district,Dial code,OS grid ref,In inner london,,
Abbey Wood,"Bexley, Greenwich",LONDON,SE2,20,TQ465785,Yes,,
Acton,"Ealing, Hammersmith and Fulham",LONDON,"W3, W4",20,TQ205805,Yes,,
Addington,Croydon,CROYDON,CR0,20,TQ375645,No,,
Addiscombe,Croydon,CROYDON,CR0,20,TQ345665,No,,
Albany Park,Bexley,"BEXLEY, SIDCUP","DA5, DA14",20,TQ478728,No,,
Aldborough Hatch,Redbridge,ILFORD,IG2,20,TQ455895,No,,
Aldgate,City of London,LONDON,EC3,20,TQ334813,Yes,,
Aldwych,Westminster,LONDON,WC2,20,TQ307810,Yes,,
Alperton,Brent,WEMBLEY,HA0,20,TQ185835,No,,
Anerley,Bromley,LONDON,SE20,20,TQ345695,No,,
Angel,Islington,LONDON,"EC1, N1",20,TQ345665,Yes,,
Aperfield,Bromley,WESTERHAM,TN16,1959,TQ425585,No,,
Archway,Islington,LONDON,N19,20,TQ285875,Yes,,
Ardleigh Green,Havering,HORNCHURCH,RM11,1708,TQ535895,No,,
Arkley,Barnet,"BARNET, LONDON","EN5, NW7",20,TQ225955,No,,
Arnos Grove,Enfield,LONDON,"N11, N14",20,TQ295925,No,,
Balham,Wandsworth,LONDON,SW12,20,TQ285735,Yes,,
Bankside,Southwark,LONDON,SE1,20,TQ325795,Yes,,
Barbican,City of London,LONDON,"EC1, EC2",20,TQ322818,Yes,,
Barking,Barking and Dagenham,BARKING,IG11,20,TQ440840,No,,
Barkingside,Redbridge,ILFORD,IG6,20,TQ445895,No,,
Barnehurst,Bexley,BEXLEYHEATH,DA7,1322,TQ505755,No,,
Barnes,Richmond upon Thames,LONDON,SW13,20,TQ225765,No,,
Barnes Cray,Bexley,DARTFORD,DA1,1322,TQ525755,No,,
Barnet Gate,Barnet,"LONDON, BARNET","NW7, EN5",20,TQ218952,No,,
"Barnet (also Chipping Barnet, High Barnet)",Barnet,BARNET,EN5,20,TQ245955,No,,
Barnsbury,Islington,LONDON,N1,20,TQ305845,Yes,,
Battersea,Wandsworth,LONDON,SW11,20,TQ285765,Yes,,
Bayswater,Westminster,LONDON,W2,20,TQ255805,Yes,,
Beckenham,Bromley,"BECKENHAM, LONDON","BR3, SE20",20,TQ375695,No,,
Beckton,Newham,"LONDON, BARKING","E6, E16, IG11",20,TQ435815,No,,
Becontree,Barking and Dagenham,DAGENHAM,RM9,20,TQ485855,No,,
Becontree Heath,Barking and Dagenham,DAGENHAM,RM8,20,TQ493871,No,,
Beddington,Sutton,"WALLINGTON, CROYDON","SM6, CR0",20,TQ305655,No,,
Bedford Park,Ealing,LONDON,W4,20,TQ208793,No,,
Belgravia,Westminster,LONDON,SW1,20,TQ283792,Yes,,
Bellingham,Lewisham,LONDON,SE6,20,TQ375715,Yes,,
Belmont,Harrow,"HARROW, STANMORE","HA3, HA7",20,TQ165905,No,,
Belmont,Sutton,SUTTON,SM2,20,TQ253620,No,,
Belsize Park,Camden,LONDON,NW3,20,TQ273845,Yes,,
Belvedere,Bexley,BELVEDERE,DA17,20,TQ495785,No,,
Bermondsey,Southwark,LONDON,SE1,20,TQ335795,Yes,,
Berrylands,Kingston upon Thames,SURBITON,KT5,20,TQ195675,No,,
Bethnal Green,Tower Hamlets,LONDON,E2,20,TQ345825,Yes,,
"Bexley (also Old Bexley, Bexley Village)",Bexley,BEXLEY,DA5,20,TQ465755,No,,
Bexleyheath (also Bexley New Town),Bexley,"BEXLEYHEATH, LONDON","DA6, DA7, SE2",20,TQ485755,No,,
Bickley,Bromley,BROMLEY,BR3,20,TQ423688,No,,
Biggin Hill,Bromley,WESTERHAM,TN16,1959,TQ418590,No,,
Blackfen,Bexley,SIDCUP,DA15,20,TQ455745,No,,
Blackfriars,City of London,LONDON,EC4,20,TQ318808,Yes,,
Blackheath,Lewisham,LONDON,SE3,20,TQ395765,Yes,,
Blackheath Royal Standard,Greenwich,LONDON,"SE3, SE12",20,TQ399753,Yes,,
Blackwall,Tower Hamlets,LONDON,E14,20,TQ385805,Yes,,
Blendon,Bexley,BEXLEY,DA 5,20,TQ478742,No,,
Bloomsbury,Camden,LONDON,WC1,20,TQ299820,Yes,,
Botany Bay,Enfield,ENFIELD,EN2,20,TQ297992,No,,
Bounds Green,Haringey,LONDON,"N11, N22",20,TQ298914,No,,
Bow,Tower Hamlets,LONDON,E3,20,TQ365825,Yes,,
Bowes Park,Haringey,LONDON,N22,20,TQ305915,No,,
Brentford,Hounslow,BRENTFORD,TW8,20,TQ177778,No,,
Brent Cross,Barnet,LONDON,"NW2, NW4",20,TQ230874,No,,
Brent Park,Brent,LONDON,NW10,20,TQ209852,No,,
Brimsdown,Enfield,ENFIELD,EN3,20,TQ365975,No,,
Brixton,Lambeth,LONDON,"SW2, SW9, SE5",20,TQ315755,Yes,,
Brockley,Lewisham,LONDON,SE4,20,TQ365745,Yes,,
Bromley,Bromley,BROMLEY,BR1,20,TQ405695,No,,
Bromley (also Bromley-by-Bow),Tower Hamlets,LONDON,E3,20,TQ375825,Yes,,
Bromley Common,Bromley,BROMLEY,BR3,20,TQ416669,No,,
Brompton,"Kensington and Chelsea,
Hammersmith and Fulham",LONDON,SW3,20,TQ272788,Yes,,
Brondesbury,Brent,LONDON,NW6,20,TQ245845,No,,
Brunswick Park,Barnet,LONDON,N11,20,TQ280932,No,,
Bulls Cross,Enfield,ENFIELD,"EN2, EN3",20,TQ342994,No,,
Burnt Oak,Barnet,EDGWARE,HA8,20,TQ205915,No,,
"Burroughs, The",Barnet,LONDON,NW4,20,TQ227891,No,,
Camberwell,Southwark,LONDON,SE5,20,TQ325767,Yes,,
Cambridge Heath,Tower Hamlets,LONDON,E2,20,TQ348832,Yes,,
Camden Town,Camden,LONDON,NW1,20,TQ295845,Yes,,
Canary Wharf,Tower Hamlets,LONDON,E14,20,TQ375802,Yes,,
Cann Hall,Waltham Forest,LONDON,E11,20,TQ395875,No,,
Canning Town,Newham,LONDON,E16,20,TQ405815,No,,
Canonbury,Islington,LONDON,N1,20,TQ325845,Yes,,
Carshalton,Sutton,CARSHALTON,SM5,20,TQ275645,No,,
Castelnau,Richmond upon Thames,LONDON,SW13,20,TQ226776,No,,
Castle Green,Barking and Dagenham,DAGENHAM,RM9,20,TQ475837,No,,
Catford,Lewisham,LONDON,SE6,20,TQ385735,Yes,,
Chadwell Heath,"Redbridge, Barking and Dagenham",ROMFORD,RM6,20,TQ485885,No,,
Chalk Farm,Camden,LONDON,NW1,20,TQ281844,Yes,,
Charing Cross,Westminster,LONDON,WC2,20,TQ305805,Yes,,
Charlton,Greenwich,LONDON,SE7,20,TQ415785,Yes,,
Chase Cross,Havering,ROMFORD,RM5,1708,TQ505925,No,,
Cheam,Sutton,SUTTON/MERTON,"SM1 (PARTIAL)
SM2, SM3",20,TQ245625,No,,
Chelsea,Kensington and Chelsea,LONDON,SW3,20,TQ275775,Yes,,
Chelsfield,Bromley,ORPINGTON,BR6,1689,TQ482642,No,,
Chessington,Kingston upon Thames,CHESSINGTON,KT9,20,TQ183641,No,,
Childs Hill,Barnet,LONDON,NW2,20,TQ245865,No,,
Chinatown,Westminster,LONDON,W1,20,TQ297808,Yes,,
Chinbrook,Lewisham,LONDON,SE12,20,TQ411722,Yes,,
Chingford,Waltham Forest,LONDON,E4,20,TQ395945,No,,
Chislehurst,Bromley,CHISLEHURST,BR7,20,TQ445705,No,,
Chiswick,"Hounslow, Ealing, Hammersmith and Fulham",LONDON,W4,20,TQ205785,Yes,,
Church End,Brent,LONDON,NW10,20,TQ205785,No,,
Church End,Barnet,LONDON,N3,20,TQ255905,No,,
Clapham,"Lambeth, Wandsworth",LONDON,SW4,20,TQ295755,Yes,,
Clerkenwell,Islington,LONDON,EC1,20,TQ315825,Yes,,
Cockfosters,"Barnet, Enfield",BARNET,EN4,20,TQ275965,No,,
Colindale,Barnet,LONDON,NW9,20,TQ213897,No,,
Collier Row,Havering,ROMFORD,RM5,1708,TQ505905,No,,
Colliers Wood,Merton,LONDON,SW19,20,TQ275705,No,,
Colney Hatch,Barnet,LONDON,"N11, N10",20,TQ278918,No,,
Colyers,Bexley,ERITH,DA8,1322,TQ512768,No,,
Coney Hall,Bromley,WEST WICKHAM,BR4,20,TQ394653,No,,
Coombe,Croydon,CROYDON,CR0,20,TQ342647,No,,
Coombe,Kingston upon Thames,KINGSTON UPON THAMES,KT2,20,TQ208703,No,,
Coulsdon,Croydon,COULSDON,CR5,"020, 01737",TQ298596,No,,
Covent Garden,Westminster,LONDON,WC2,20,TQ303809,Yes,,
Cowley,Hillingdon,UXBRIDGE,UB8,1895,TQ055825,No,,
Cranford,Hounslow,HOUNSLOW,TW5,20,TQ105765,No,,
Cranham,Havering,UPMINSTER,RM14,1708,TQ575875,No,,
Crayford,Bexley,DARTFORD,DA1,1322,TQ515745,No,,
Creekmouth,Barking and Dagenham,BARKING,IG11,20,TQ457820,No,,
Crews Hill,Enfield,ENFIELD,EN2,20,TQ315995,No,,
Cricklewood,"Barnet, Brent, Camden",LONDON,NW2,20,TQ235855,Yes,,
Crofton Park,Lewisham,LONDON,SE4,20,TQ367744,Yes,,
Crook Log,Bexley,BEXLEYHEATH,DA6,20,TQ480754,No,,
Crossness,Bexley,LONDON,SE2,20,TQ480800,No,,
Crouch End,Haringey,LONDON,N8,20,TQ295885,No,,
Croydon,Croydon,CROYDON,CR0,20,TQ335655,No,,
Crystal Palace,Bromley,LONDON,"SE19, SE20, SE26",20,TQ341708,No,,
Cubitt Town,Tower Hamlets,LONDON,E14,20,TQ385795,Yes,,
Cudham,Bromley,SEVENOAKS,TN14,1959,TQ445595,No,,
Custom House,Newham,LONDON,E16,20,TQ408807,No,,
Dagenham,Barking and Dagenham,DAGENHAM,"RM9, RM10",20,TQ485845,No,,
Dalston,Hackney,LONDON,E8,20,TQ345845,Yes,,
De Beauvoir Town,Islington,LONDON,N1,20,TQ332842,Yes,,
Denmark Hill,Southwark,LONDON,SE5,20,TQ327760,Yes,,
Deptford,Lewisham,LONDON,SE8,20,TQ365775,Yes,,
Derry Downs,Bromley,ORPINGTON,BR5,1689,TQ47586708,No,,
Dollis Hill,Brent,LONDON,NW2,20,TQ225865,No,,
Downe,Bromley,ORPINGTON,BR6,1689,TQ435615,No,,
Downham,Lewisham,BROMLEY,BR1,20,TQ395715,Yes,,
Dulwich,"Lambeth, Southwark",LONDON,SE21,20,TQ345725,Yes,,
Ealing,Ealing,LONDON,"W5, W13",20,TQ175805,No,,
Earls Court,Kensington and Chelsea,LONDON,"SW5, SW10",20,TQ254784,Yes,,
Earlsfield,Wandsworth,LONDON,SW18,20,TQ265735,Yes,,
East Barnet,Barnet,BARNET,EN4,20,TQ275945,No,,
East Bedfont,Hounslow,FELTHAM,TW14,20,TQ085735,No,,
East Dulwich,Southwark,LONDON,SE22,20,TQ345745,Yes,,
East Finchley,Barnet,LONDON,N2,20,TQ265895,No,,
East Ham,Newham,LONDON,E6,20,TQ425835,No,,
East Sheen,Richmond upon Thames,LONDON,SW14,20,TQ205755,No,,
East Wickham,Bexley,WELLING,DA16,20,TQ468771,No,,
Eastcote,Hillingdon,PINNER,"HA5, HA4",20,TQ115885,No,,
Eden Park,Bromley,BECKENHAM,BR3,20,TQ373675,No,,
Edgware,Barnet,EDGWARE,HA8,20,TQ195925,No,,
Edmonton,Enfield,LONDON,"N9, N18",20,TQ335925,No,,
Eel Pie Island,Richmond upon Thames,TWICKENHAM,TW1,20,TQ164731,No,,
Elephant and Castle,Southwark,LONDON,"SE1, SE11, SE17",20,TQ319789,Yes,,
Elm Park,Havering,HORNCHURCH,RM12,1708,TQ525855,No,,
Elmers End,Bromley,BECKENHAM,BR3,20,TQ355685,No,,
Elmstead,Bromley,CHISLEHURST,BR7,20,TQ425705,No,,
Eltham,Greenwich,LONDON,SE9,20,TQ425745,Yes,,
Emerson Park,Havering,HORNCHURCH,RM11,1708,TQ545885,No,,
Enfield Highway,Enfield,ENFIELD,EN3,20,TQ355975,No,,
Enfield Lock,Enfield,ENFIELD,EN3,1992,TQ365985,No,,
Enfield Town,Enfield,ENFIELD,"EN1, EN2",20,TQ325965,No,,
Enfield Wash,Enfield,ENFIELD,EN3,20,TQ355985,No,,
Erith,Bexley,ERITH,"DA8, DA18",1322,TQ505775,No,,
Falconwood,"Bexley, Greenwich","LONDON, WELLING","SE9, DA16",20,TQ455755,Yes,,
Farringdon,"Islington, City of London",LONDON,EC1,20,TQ315818,Yes,,
Feltham,Hounslow,FELTHAM,"TW13, TW14",20,TQ105735,No,,
Finchley,Barnet,LONDON,"N2, N3, N12",20,TQ255905,No,,
Finsbury,Islington,LONDON,EC1,20,TQ315825,Yes,,
Finsbury Park,"Haringey, Islington",LONDON,N4,20,TQ314872,Yes,,
Fitzrovia,Camden,LONDON,W1,20,TQ293816,Yes,,
Foots Cray,Bexley,SIDCUP,DA14,20,TQ472709,No,,
Forest Gate,Newham,LONDON,E7,20,TQ405855,No,,
Forest Hill,Lewisham,LONDON,SE23,20,TQ354736,Yes,,
Forestdale,Croydon,CROYDON,CR0,20,TQ366625,No,,
Fortis Green,Haringey,LONDON,N10,20,TQ281896,No,,
Freezywater,Enfield,ENFIELD,EN3,20,TQ361993,No,,
Friern Barnet,Barnet,LONDON,N11,20,TQ276920,No,,
Frognal,Camden,LONDON,NW3,20,TQ257853,Yes,,
Fulham,Hammersmith and Fulham,LONDON,SW6,20,TQ245765,Yes,,
Fulwell,Richmond upon Thames,"TEDDINGTON, HAMPTON","TW11, TW12",20,TQ149719,No,,
Gallows Corner,Havering,ROMFORD,"RM2, RM3",1708,TQ535905,No,,
Gants Hill,Redbridge,ILFORD,IG2,20,TQ435885,No,,
Gidea Park,Havering,ROMFORD,RM2,1708,TQ525905,No,,
Gipsy Hill,Lambeth,LONDON,"SE19, SE27",20,TQ332710,Yes,,
Goddington,Bromley,ORPINGTON,BR6,1689,TQ475655,No,,
Golders Green,Barnet,LONDON,NW11,20,TQ248876,No,,
Goodmayes,Redbridge,ILFORD,IG3,20,TQ465865,No,,
Gospel Oak,Camden,LONDON,"NW5, NW3",20,TQ285855,Yes,,
Grahame Park,Barnet,LONDON,NW9,20,TQ217905,No,,
Grange Park,Enfield,LONDON,N21,20,TQ313962,No,,
Greenford,Ealing,GREENFORD,UB6,20,TQ135825,No,,
Greenwich,Greenwich,LONDON,SE10,20,TQ395775,Yes,,
Grove Park,Hounslow,LONDON,W4,20,TQ205775,No,,
Grove Park,Lewisham,LONDON,SE12,20,TQ404722,Yes,,
Gunnersbury,Hounslow,LONDON,W4,20,TQ195785,No,,
Hackney,Hackney,LONDON,"E5, E8, E9, N1, N16",20,TQ345845,Yes,,
Hackney Central,Hackney,LONDON,E8,20,TQ347850,Yes,,
Hackney Marshes,Hackney,LONDON,E9,20,TQ365861,Yes,,
Hackney Wick,Hackney,LONDON,E9,20,TQ369847,Yes,,
Hadley Wood,Enfield,BARNET,EN4,20,TQ265975,No,,
Haggerston,Hackney,LONDON,E2,20,TQ335835,Yes,,
Hainault,Redbridge,CHIGWELL,IG7,20,TQ445915,No,,
The Hale,Barnet,LONDON,NW7,20,TQ205918,No,,
Ham,Richmond upon Thames,RICHMOND,TW10,20,TQ175725,No,,
Hammersmith,Hammersmith and Fulham,LONDON,W6,20,TQ233786,Yes,,
Hampstead,Camden,LONDON,NW3,20,TQ265855,Yes,,
Hampstead Garden Suburb,Barnet,LONDON,N2,20,TQ265885,No,,
Hampton,Richmond upon Thames,HAMPTON,TW12,20,TQ135705,No,,
Hampton Hill,Richmond upon Thames,HAMPTON,TW12,20,TQ144710,No,,
Hampton Wick,Richmond upon Thames,KINGSTON UPON THAMES,KT1,20,TQ176695,No,,
Hanwell,Ealing,LONDON,W7,20,TQ153802,No,,
Hanworth,Hounslow,FELTHAM,TW13,20,TQ125715,No,,
Harefield,Hillingdon,UXBRIDGE,UB9,1895,TQ055905,No,,
Harlesden,Brent,LONDON,NW10,20,TQ215835,No,,
Harlington,Hillingdon,HAYES,UB3,20,TQ085775,No,,
Harmondsworth,Hillingdon,WEST DRAYTON,UB7,20,TQ055775,No,,
Harold Hill,Havering,ROMFORD,RM3,1708,TQ545925,No,,
Harold Park,Havering,ROMFORD,RM3,1708,TQ555915,No,,
Harold Wood,Havering,ROMFORD,RM3,1708,TQ545905,No,,
Harringay,Haringey,LONDON,"N4, N8, N15",20,TQ317887,No,,
Harrow,Harrow,HARROW,HA1,20,TQ145885,No,,
Harrow on the Hill,Harrow,HARROW,HA1,20,TQ155865,No,,
Harrow Weald,Harrow,HARROW,HA3,20,TQ145885,No,,
Hatch End,Harrow,PINNER,HA5,20,TQ125915,No,,
Hatton,Hounslow,FELTHAM,TW14,20,TQ095755,No,,
Havering-atte-Bower,Havering,ROMFORD,RM4,1708,TQ515935,No,,
Hayes,Bromley,BROMLEY,BR2,20,TQ405665,No,,
Hayes,Hillingdon,HAYES,"UB3, UB4",20,TQ095805,No,,
Hazelwood,Bromley,ORPINGTON,BR6,1689,TQ445616,No,,
Hendon,Barnet,LONDON,NW4,20,TQ229887,No,,
Herne Hill,"Lambeth, Southwark",LONDON,SE24,20,TQ325745,Yes,,
Heston,Hounslow,HOUNSLOW,TW5,20,TQ125775,No,,
Highams Park,Waltham Forest,LONDON,E4,20,TQ375915,No,,
Highbury,Islington,LONDON,N5,20,TQ319854,Yes,,
Highgate,Camden,LONDON,N6,20,TQ285875,Yes,,
Hillingdon,Hillingdon,UXBRIDGE,"UB8, UB10",20,TQ071827,No,,
Hither Green,Lewisham,LONDON,SE13,20,TQ395745,Yes,,
Holborn,Camden,LONDON,"WC1, WC2",20,TQ305815,Yes,,
Holland Park,Kensington and Chelsea,LONDON,"W8, W11, W14",20,TQ246798,Yes,,
Holloway,Islington,LONDON,N7,20,TQ307859,Yes,,
Homerton,Hackney,LONDON,E9,20,TQ355855,Yes,,
Honor Oak,Lewisham,LONDON,SE23,20,TQ355745,Yes,,
Hook,Kingston upon Thames,CHESSINGTON,KT9,20,TQ183647,No,,
Hornchurch,Havering,HORNCHURCH,"RM11, RM12",1708,TQ535865,No,,
Horn Park,"Greenwich, Lewisham",LONDON,SE12,20,TQ408739,Yes,,
Hornsey,Haringey,LONDON,N8,20,TQ305895,No,,
Hounslow,Hounslow,HOUNSLOW,TW3,20,TQ145755,No,,
Hoxton,Hackney,LONDON,N1,20,TQ335835,Yes,,
The Hyde,Barnet,LONDON,NW9,20,TQ215888,No,,
Ickenham,Hillingdon,UXBRIDGE,UB10,1895,TQ075855,No,,
Ilford,Redbridge,ILFORD,IG1,20,TQ445865,No,,
Isle of Dogs,Tower Hamlets,LONDON,E14,20,TQ375785,Yes,,
Isleworth,Hounslow,ISLEWORTH,TW7,20,TQ155755,No,,
Islington,Islington,LONDON,N1,20,TQ315845,Yes,,
Kenley,Croydon,KENLEY,CR8,20,TQ327600,No,,
Kennington,"Lambeth, Southwark",LONDON,SE11,20,TQ305775,Yes,,
Kensal Green,Brent,LONDON,"NW10, NW6",20,TQ235825,No,,
Kensington,Kensington and Chelsea,LONDON,SW7,20,TQ255795,Yes,,
Kentish Town,Camden,LONDON,NW5,20,TQ285845,Yes,,
Kenton,"Brent, Harrow","HARROW, LONDON",HA3,20,TQ175885,No,,
Keston,Bromley,KESTON,BR2,1698,TQ415645,No,,
Kew,Richmond upon Thames,RICHMOND,TW9,20,TQ195775,No,,
